Codice,Comune,Cod_prov,Provincia,Pop2011,Pop2014
03017064,CORZANO,17,BRESCIA,1358.0,1427.0
03017167,RUDIANO,17,BRESCIA,5861.0,5822.0
03017201,VILLANUOVA SUL CLISI,17,BRESCIA,5855.0,5778.0
03017084,IRMA,17,BRESCIA,152.0,128.0
03017102,MANERBA DEL GARDA,17,BRESCIA,4985.0,5290.0
03016001,ADRARA SAN MARTINO,16,BERGAMO,2171.0,2210.0
03017111,MONTE ISOLA,17,BRESCIA,1807.0,1767.0
03017045,CASTREZZATO,17,BRESCIA,7018.0,7095.0
03020070,VOLTA MANTOVANA,20,MANTOVA,7377.0,7399.0
03020034,MEDOLE,20,MANTOVA,4026.0,4070.0
03017067,DESENZANO DEL GARDA,17,BRESCIA,27229.0,28312.0
03020044,PONTI SUL MINCIO,20,MANTOVA,2322.0,2357.0
03013040,CAMPIONE D`ITALIA,13,COMO,2121.0,2038.0
03017193,VALLIO TERME,17,BRESCIA,1337.0,1437.0
03017077,GAVARDO,17,BRESCIA,11686.0,12051.0
03020018,CAVRIANA,20,MANTOVA,3913.0,3904.0
03016212,TELGATE,16,BERGAMO,4847.0,5029.0
03017149,PONTEVICO,17,BRESCIA,7221.0,7162.0
03017180,SOIANO DEL LAGO,17,BRESCIA,1863.0,1880.0
03017173,SAN ZENO NAVIGLIO,17,BRESCIA,4671.0,4686.0
03019069,PESCAROLO ED UNITI,19,CREMONA,1608.0,1573.0
03016044,CALCIO,16,BERGAMO,5410.0,5375.0
03017139,PERTICA ALTA,17,BRESCIA,612.0,571.0
03020012,CASALROMANO,20,MANTOVA,1578.0,1493.0
03020019,CERESARA,20,MANTOVA,2708.0,2695.0
03019110,TRIGOLO,19,CREMONA,1772.0,1744.0
03019028,CELLA DATI,19,CREMONA,558.0,539.0
03017137,PAVONE DEL MELLA,17,BRESCIA,2831.0,2792.0
03016137,MONASTEROLO DEL CASTELLO,16,BERGAMO,1119.0,1164.0
03017043,CASTENEDOLO,17,BRESCIA,11215.0,11411.0
03017021,BORGOSATOLLO,17,BRESCIA,9232.0,9249.0
03016026,BIANZANO,16,BERGAMO,604.0,632.0
03019040,DEROVERE,19,CREMONA,316.0,302.0
03017136,PASSIRANO,17,BRESCIA,7191.0,7141.0
03019019,CASALETTO DI SOPRA,19,CREMONA,548.0,574.0
03015236,VERNATE,15,MILANO,3189.0,3321.0
03019027,CASTELVISCONTI,19,CREMONA,333.0,326.0
03017023,BOTTICINO,17,BRESCIA,10792.0,10945.0
03017166,ROVATO,17,BRESCIA,18352.0,19218.0
03017113,MONTICHIARI,17,BRESCIA,23339.0,24953.0
03017119,NUVOLENTO,17,BRESCIA,4073.0,3986.0
03016128,LOVERE,16,BERGAMO,5428.0,5345.0
03019075,PIEVE SAN GIACOMO,19,CREMONA,1625.0,1627.0
03019083,RIVAROLO DEL RE ED UNITI,19,CREMONA,2091.0,2017.0
03017127,OSPITALETTO,17,BRESCIA,13974.0,14362.0
03017017,BERZO INFERIORE,17,BRESCIA,2439.0,2470.0
03017005,ANFO,17,BRESCIA,487.0,472.0
03019090,SAN GIOVANNI IN CROCE,19,CREMONA,1880.0,1916.0
03019037,CREMOSANO,19,CREMONA,1555.0,1761.0
03017071,FIESSE,17,BRESCIA,2198.0,2096.0
03016235,VIADANICA,16,BERGAMO,1142.0,1139.0
03020006,BORGOFRANCO SUL PO,20,MANTOVA,803.0,782.0
03017187,TOSCOLANO MADERNO,17,BRESCIA,8111.0,8083.0
03019093,SCANDOLARA RIPA D`OGLIO,19,CREMONA,626.0,563.0
03017003,AGNOSINE,17,BRESCIA,1839.0,1813.0
03016205,SPINONE AL LAGO,16,BERGAMO,1037.0,1018.0
03016094,ENTRATICO,16,BERGAMO,1887.0,1963.0
03017174,SAREZZO,17,BRESCIA,13430.0,13589.0
03019039,CUMIGNANO SUL NAVIGLIO,19,CREMONA,442.0,456.0
03019009,CALVATONE,19,CREMONA,1296.0,1208.0
03019107,TORRE DE` PICENARDI,19,CREMONA,1801.0,1769.0
03013050,CASASCO D`INTELVI,13,COMO,433.0,459.0
03020041,PIUBEGA,20,MANTOVA,1775.0,1737.0
03019052,GUSSOLA,19,CREMONA,2968.0,2796.0
03017185,TIGNALE,17,BRESCIA,1312.0,1274.0
03017026,BRANDICO,17,BRESCIA,1653.0,1655.0
03020053,ROVERBELLA,20,MANTOVA,8649.0,8680.0
03017108,MILZANO,17,BRESCIA,1815.0,1787.0
03016211,TAVERNOLA BERGAMASCA,16,BERGAMO,2146.0,2119.0
03017097,MACLODIO,17,BRESCIA,1514.0,1467.0
03017169,SALE MARASINO,17,BRESCIA,3387.0,3393.0
03020028,GUIDIZZOLO,20,MANTOVA,6185.0,6220.0
03020042,POGGIO RUSCO,20,MANTOVA,6649.0,6641.0
03019017,CASALE CREMASCO - VIDOLASCO,19,CREMONA,1855.0,1907.0
03017082,IDRO,17,BRESCIA,1893.0,1960.0
03017059,COLOGNE,17,BRESCIA,7600.0,7653.0
03020035,MOGLIA,20,MANTOVA,6064.0,5699.0
03013044,CARATE URIO,13,COMO,1216.0,1186.0
03017066,DELLO,17,BRESCIA,5575.0,5687.0
03019092,SCANDOLARA RAVARA,19,CREMONA,1520.0,1424.0
03017170,SALO`,17,BRESCIA,10740.0,10669.0
03019114,VOLONGO,19,CREMONA,571.0,535.0
03017190,TRENZANO,17,BRESCIA,5551.0,5429.0
03017088,LENO,17,BRESCIA,14561.0,14437.0
03017029,BRESCIA,17,BRESCIA,193879.0,196058.0
03017165,RONCADELLE,17,BRESCIA,9369.0,9553.0
03019108,TORRICELLA DEL PIZZO,19,CREMONA,693.0,634.0
03017011,BARBARIGA,17,BRESCIA,2410.0,2338.0
03016177,PUMENENGO,16,BERGAMO,1694.0,1729.0
03017098,MAGASA,17,BRESCIA,152.0,140.0
03017038,CAPRIOLO,17,BRESCIA,9322.0,9433.0
03017085,ISEO,17,BRESCIA,9205.0,9202.0
03017205,ZONE,17,BRESCIA,1110.0,1092.0
03020033,MARMIROLO,20,MANTOVA,7768.0,7844.0
03017073,GAMBARA,17,BRESCIA,4809.0,4700.0
03017062,CORTE FRANCA,17,BRESCIA,7189.0,7220.0
03017048,CELLATICA,17,BRESCIA,4943.0,4999.0
03019072,PIANENGO,19,CREMONA,2617.0,2570.0
03019005,BAGNOLO CREMASCO,19,CREMONA,4841.0,4814.0
03019041,DOVERA,19,CREMONA,3957.0,3908.0
03098041,MULAZZANO,98,LODI,5768.0,5761.0
03019102,SPINO D`ADDA,19,CREMONA,7007.0,6902.0
03015222,TRIBIANO,15,MILANO,3330.0,3501.0
03098061,ZELO BUON PERSICO,98,LODI,6860.0,7245.0
03015169,PAULLO,15,MILANO,11132.0,11334.0
03098039,MERLINO,98,LODI,1778.0,1796.0
