var(lat/lon)	-175	-165	-155	-145	-135	-125	-115	-105	-95	-85	-75	-65	-55	-45	-35	-25	-15	-5	5	15	25	35	45	55	65	75	85	95	105	115	125	135	145	155	165	175
85	-9.55	-23.23	7.23	-1.20	-39.86	-13.38	-25.50	-1.46	-6.96	-8.76	-21.03	-11.22	-6.84	-1.55	0.31	-7.91	-1.48	-0.29	1.27	3.56	5.11	-0.84	8.71	1.18	2.39	11.32	13.58	17.90	0.56	10.98	4.78	32.04	9.47	15.05	19.54	35.79
75	-37.01	-5.75	5.08	-28.05	-2.23	-13.49	-26.44	-4.99	-12.51	-5.32	0.09	2.66	0.82	-2.85	-0.25	-1.58	-2.93	-0.80	0.71	-0.59	4.35	-0.02	-5.29	-1.16	-2.63	11.77	12.71	-5.70	7.21	5.99	25.61	14.05	20.61	13.77	7.43	-14.75
65	2.37	-7.87	2.27	-17.66	-10.38	-23.70	-9.78	-14.80	-12.16	-4.75	-3.67	-9.62	-1.62	0.81	-3.12	-0.15	-1.11	-0.20	0.67	-0.68	2.23	1.65	-0.36	0.23	8.44	-9.54	9.88	2.05	19.33	18.01	3.28	9.23	12.92	4.42	-1.08	4.43
55	-20.73	-14.75	-13.45	-6.19	-2.53	-7.23	-16.69	-12.84	-3.81	-5.78	-8.34	-6.25	-5.98	-8.50	-1.31	-1.45	-3.02	0.22	0.57	1.25	-0.98	-2.82	2.82	4.60	5.03	4.47	7.65	3.72	-7.82	-3.15	19.00	20.96	9.93	18.56	22.57	8.13
45	3.54	-6.32	-23.70	-12.13	-4.32	1.55	-0.98	0.73	-4.14	4.68	-6.55	-10.69	-3.82	-2.25	-2.31	-1.86	-0.20	0.04	0.28	0.13	0.85	3.39	3.31	1.75	7.08	6.82	4.84	7.01	6.84	12.48	3.58	12.80	-3.16	1.92	12.78	-4.39
35	-14.32	-0.81	-13.71	-1.81	-3.03	-15.87	-5.33	-2.84	-0.25	-3.11	-8.29	-0.25	-1.84	1.87	-1.25	-2.48	0.77	0.02	-0.07	0.43	0.96	0.81	1.33	4.04	6.10	7.68	2.91	-4.22	5.44	3.21	16.42	0.20	13.88	-1.36	-6.53	7.95
25	2.15	-7.02	-2.58	-8.76	-3.41	-7.83	-3.07	-4.15	0.36	-0.62	-3.29	1.06	-0.75	-2.44	0.06	-1.87	-0.11	0.03	0.00	-0.08	0.78	1.71	2.35	2.26	3.43	2.37	2.29	0.31	0.96	3.14	0.77	5.27	1.20	5.71	7.51	10.75
15	0.07	-2.82	-4.74	-1.14	0.51	-1.04	0.15	-0.76	-0.39	-1.37	1.04	-1.82	-0.99	-0.05	-1.36	-0.29	-0.06	-0.23	0.20	0.00	0.87	0.96	0.97	-0.48	0.13	2.68	2.67	0.43	2.43	4.13	0.02	-2.53	-1.12	0.50	-2.45	1.21
5	-0.70	-1.31	0.62	-0.88	-2.26	-1.20	-1.25	0.00	-1.00	-0.45	0.18	0.13	-0.58	-0.45	0.07	-0.36	0.02	0.00	0.02	0.24	0.22	-0.12	0.41	0.01	0.88	0.51	0.37	-0.31	1.03	-1.52	1.23	0.35	2.58	1.00	1.53	1.50
